Time Stamp,f_x,f_y,f_z,w_x,w_y,w_z
59623.15,0.170310504,0.226780152,9.70317905,0.004879578,-0.001795336,-0.001565539
59623.35,0.170042113,0.228697512,9.701826119,0.004869947,-0.001783607,-0.001568697
59623.55,0.169759024,0.230971589,9.700184082,0.004860501,-0.001766496,-0.001570898
59623.75,0.169460969,0.233624574,9.698237444,0.004851293,-0.001743587,-0.001572017
59623.95,0.169153825,0.23659057,9.695942144,0.004841771,-0.001716584,-0.001574333
59624.15,0.168846172,0.239771266,9.693412937,0.004832307,-0.001686366,-0.001576852
59624.35,0.168579363,0.242720546,9.691044437,0.0048234,-0.001658539,-0.001578928
59624.55,0.168366752,0.245287794,9.688953819,0.004815177,-0.001635062,-0.001580583
59624.75,0.168204854,0.247501952,9.687140287,0.00480788,-0.0016152,-0.001581004
59624.95,0.168106515,0.249224272,9.685707379,0.004801597,-0.001600788,-0.00158033
59625.15,0.168057318,0.250624732,9.684445437,0.004795834,-0.001590092,-0.001580106
59625.35,0.168063638,0.251630869,9.683407955,0.004790683,-0.001584006,-0.001580301
59625.55,0.168151483,0.251949589,9.682855254,0.004786542,-0.001586137,-0.001580308
59625.75,0.168311786,0.251697302,9.68268182,0.004783352,-0.00159489,-0.001580218
59625.95,0.168515938,0.251233505,9.682628993,0.004781197,-0.001604981,-0.001579029
59626.15,0.168762435,0.250588732,9.682676894,0.004780176,-0.001615818,-0.001576467
59626.35,0.169053666,0.249739317,9.682819595,0.004780227,-0.001627813,-0.00157297
59626.55,0.169390687,0.24868331,9.683065012,0.004781485,-0.001640787,-0.001568218
59626.75,0.169809471,0.246994101,9.683751162,0.00478425,-0.001660407,-0.00156229
59626.95,0.170314567,0.244625689,9.684910608,0.004788613,-0.001687185,-0.001555128
59627.15,0.170890452,0.241777753,9.686391446,0.004794616,-0.001718186,-0.001546287
59627.35,0.171521548,0.23851803,9.688172003,0.004802025,-0.001752478,-0.001536377
59627.55,0.172128738,0.235423033,9.689891189,0.004809765,-0.001782489,-0.001527385
59627.75,0.172685185,0.232687563,9.691431587,0.004817535,-0.001805538,-0.001519846
59627.95,0.173197995,0.23020822,9.692882763,0.004825438,-0.001822888,-0.001513774
59628.15,0.173642227,0.228170986,9.694129663,0.004833207,-0.001831966,-0.001509639
59628.35,0.174046216,0.226408017,9.695265794,0.004841417,-0.001834693,-0.001506261
59628.55,0.174397315,0.225001125,9.696248087,0.004849962,-0.001829854,-0.001503867
59628.75,0.174644043,0.224307664,9.696863806,0.004858166,-0.00181269,-0.001503742
59628.95,0.174807506,0.22415695,9.697226401,0.004866382,-0.001785286,-0.001505353
59629.15,0.17495439,0.223987769,9.697708444,0.004875471,-0.001754956,-0.001507566
59629.35,0.175090921,0.223728353,9.698365189,0.004885556,-0.001722519,-0.001510293
59629.55,0.175212389,0.223417159,9.699174776,0.004896683,-0.001687282,-0.001513435
59629.75,0.175319255,0.223023221,9.700168371,0.004908902,-0.001649526,-0.001517038
59629.95,0.175334877,0.223117902,9.700994137,0.004921279,-0.001601591,-0.001522657
59630.15,0.175251334,0.223743544,9.701634337,0.004933777,-0.001542768,-0.001530424
59630.35,0.175105562,0.224585261,9.702300458,0.004946921,-0.001477072,-0.001539646
59630.55,0.174898572,0.225683185,9.702908856,0.00496029,-0.001405866,-0.001550158
59630.75,0.174699848,0.226690178,9.703483663,0.004973369,-0.001339677,-0.001560113
59630.95,0.174532583,0.227476737,9.704044498,0.004985984,-0.001282259,-0.001568907
59631.15,0.174376209,0.228190577,9.704495178,0.004997829,-0.001231939,-0.001576933
59631.35,0.174253563,0.228697067,9.704866203,0.005008784,-0.00119231,-0.001583601
59631.55,0.174149733,0.228994024,9.705257706,0.005019341,-0.001160677,-0.001589404
59631.75,0.174072766,0.229035235,9.705668392,0.005029359,-0.001138765,-0.001594102
59631.95,0.174062998,0.228629928,9.706086302,0.005038378,-0.001133244,-0.001596589
59632.15,0.174096865,0.227893051,9.706490687,0.005046457,-0.001141241,-0.001597402
59632.35,0.174094687,0.227291219,9.706723264,0.005053574,-0.001152651,-0.001598316
59632.55,0.174043473,0.226900623,9.706745602,0.005059618,-0.001166376,-0.001599564
59632.75,0.173948178,0.226667336,9.706590237,0.005064614,-0.00118341,-0.001601023
59632.95,0.173800584,0.226644583,9.706218558,0.005068402,-0.001203409,-0.001602806
59633.15,0.17367161,0.226445994,9.705696436,0.005070557,-0.001237079,-0.001603141
59633.35,0.173563764,0.226054677,9.705015341,0.005070948,-0.001285453,-0.001601908
59633.55,0.173431677,0.225726847,9.704091824,0.005069553,-0.001343005,-0.001600101
59633.75,0.173300198,0.225388603,9.703005482,0.005066637,-0.001408721,-0.00159758
59633.95,0.173190262,0.225108129,9.701970124,0.005063516,-0.001470492,-0.001595353
59634.15,0.173105958,0.224932511,9.701040943,0.00506055,-0.001524049,-0.001593809
59634.35,0.17306731,0.224767605,9.700233654,0.005057595,-0.001571951,-0.001592496
59634.55,0.173075196,0.224670279,9.699593262,0.005054966,-0.001610066,-0.001591819
59634.75,0.173095825,0.22475141,9.698969502,0.005051961,-0.001641167,-0.001591835
59634.95,0.173133388,0.225029637,9.698385864,0.005048696,-0.001663439,-0.001592685
59635.15,0.173207803,0.225529114,9.697985926,0.00504599,-0.001669425,-0.001594921
59635.35,0.173316523,0.226227043,9.697708495,0.005043383,-0.001662712,-0.001598216
59635.55,0.173474431,0.226918416,9.697441,0.005039754,-0.001655891,-0.001601181
59635.75,0.173688217,0.227568111,9.697174897,0.005034918,-0.001650597,-0.001603594
59635.95,0.173951298,0.228229321,9.696891039,0.005028809,-0.001645711,-0.001605635
59636.15,0.174272314,0.228871169,9.69659608,0.005021338,-0.001642005,-0.001607147
59636.35,0.174660959,0.229625521,9.696455758,0.005013662,-0.001627018,-0.001609275
59636.55,0.1751215,0.230501205,9.696482589,0.005005803,-0.0015998,-0.001612076
59636.75,0.175660942,0.231396545,9.696604177,0.00499707,-0.001567324,-0.001614796
59636.95,0.176250083,0.232310051,9.696812349,0.004988088,-0.001529083,-0.001617665
59637.15,0.176785814,0.233142665,9.696938648,0.004979847,-0.001493722,-0.001620502
59637.35,0.17723653,0.233845012,9.696929383,0.004972665,-0.001464495,-0.00162318
59637.55,0.177602959,0.234440061,9.69682892,0.004966927,-0.001438284,-0.001625982
59637.75,0.17785705,0.234879222,9.696583594,0.004962873,-0.001418405,-0.001628751
