Time Stamp,Lat,Long,Alt,Azi,Pitch,Roll,Vn,Ve,Vu,Forward Speed
59623.2,43.65927863,-79.37822713,63.6651,343.0687069,0.077182959,-0.500043903,-0.0004,-0.0002,0.0023,0.002343075
59623.4,43.65927863,-79.37822714,63.6651,343.0685896,0.078378661,-0.50308864,-0.0006,-0.0005,0.0036,0.003683748
59623.6,43.65927863,-79.37822714,63.6652,343.0691712,0.078458332,-0.502611863,0.0003,-0.0001,0.0039,0.0039128
59623.8,43.65927863,-79.37822714,63.6652,343.0678034,0.079017062,-0.500705668,-0.0002,-0.0006,0.0024,0.002481935
59624,43.65927863,-79.37822714,63.6653,343.0689083,0.077795404,-0.503968304,0.0012,-0.0009,0.0028,0.003176476
59624.2,43.65927863,-79.37822714,63.6653,343.0692259,0.078774428,-0.500873503,0.0006,0.0014,0.0022,0.002675818
59624.4,43.65927863,-79.37822714,63.6654,343.0685881,0.07837171,-0.500915073,0.0011,0.0006,0.0024,0.002707397
59624.6,43.65927863,-79.37822715,63.6654,343.0693394,0.078292957,-0.502807145,0.0008,0.003,0.0012,0.003328663
59624.8,43.65927863,-79.37822715,63.6655,343.0692975,0.080168177,-0.501857808,0.0001,0.0021,0,0.00210238
59625,43.65927863,-79.37822715,63.6656,343.0706243,0.080170654,-0.501963367,-0.0019,0.0034,-0.0005,0.003926831
59625.2,43.65927863,-79.37822715,63.6656,343.0692642,0.079081214,-0.511380953,0.0037,0.0012,0.0099,0.010636729
59625.4,43.65927863,-79.37822715,63.6657,343.0660324,0.069434821,-0.485150814,0.0063,0.0007,0.0009,0.006402343
59625.6,43.65927863,-79.37822715,63.6658,343.0698479,0.067503944,-0.488624312,0.0036,0.0002,-0.0003,0.003618011
59625.8,43.65927863,-79.37822715,63.6659,343.0684579,0.066806257,-0.492364545,0.0012,0.0005,0.0067,0.006824954
59626,43.65927864,-79.37822715,63.666,343.0681882,0.068069122,-0.481098763,0.0024,0.0028,0.0012,0.003878144
59626.2,43.65927864,-79.37822715,63.6661,343.0673093,0.071668108,-0.477327933,-0.0003,0.0006,0.0036,0.003661967
59626.4,43.65927864,-79.37822715,63.6662,343.0642057,0.070813096,-0.457519604,0.0029,-0.0005,0.0023,0.00373497
59626.6,43.65927864,-79.37822715,63.6663,343.0646834,0.06471217,-0.462090039,0.0049,-0.0049,0.0064,0.009432921
59626.8,43.65927864,-79.37822716,63.6664,343.0646092,0.062163758,-0.459583496,0.0046,-0.0028,0.0014,0.005564171
59627,43.65927864,-79.37822716,63.6665,343.0652958,0.064572587,-0.45657091,-0.0029,0.0002,0.0032,0.004323193
59627.2,43.65927864,-79.37822716,63.6667,343.0662894,0.064644109,-0.468127849,-0.0029,-0.0055,0.002,0.006531462
59627.4,43.65927864,-79.37822716,63.6668,343.0647683,0.060223173,-0.477899554,0.0078,-0.0006,0.0033,0.008490583
59627.6,43.65927864,-79.37822716,63.6669,343.066436,0.052550621,-0.483199904,0.0065,-0.0069,0.0035,0.010104949
59627.8,43.65927864,-79.37822716,63.667,343.0655799,0.044589968,-0.497737269,0.0018,-0.0009,0.0013,0.00239583
59628,43.65927864,-79.37822716,63.6671,343.0642951,0.044867306,-0.500636048,0.003,-0.001,0.0032,0.004498889
59628.2,43.65927865,-79.37822716,63.6673,343.0602056,0.043527709,-0.503656167,0.0005,-0.0045,-0.0008,0.004597826
59628.4,43.65927865,-79.37822716,63.6674,343.0618263,0.040855026,-0.514690828,0,0.001,0.0003,0.001044031
59628.6,43.65927865,-79.37822717,63.6675,343.060362,0.041434842,-0.500394407,0.0022,-0.0006,0.0007,0.002385372
59628.8,43.65927865,-79.37822717,63.6676,343.0617737,0.039672877,-0.508571505,-0.0003,-0.0039,0.0002,0.003916631
59629,43.65927865,-79.37822717,63.6677,343.0614229,0.040206494,-0.509243338,0.0012,0.0025,0.0005,0.002817801
59629.2,43.65927865,-79.37822717,63.6678,343.0596281,0.040565381,-0.508533478,-0.0009,-0.0036,0.0005,0.003744329
59629.4,43.65927865,-79.37822717,63.6679,343.0598226,0.040919286,-0.519897996,0,-0.0011,0,0.0011
59629.6,43.65927865,-79.37822717,63.668,343.0604054,0.038483278,-0.508462494,0.0009,-0.0017,-0.0004,0.001964688
59629.8,43.65927865,-79.37822717,63.6681,343.0596235,0.039619053,-0.515276642,-0.001,-0.0045,-0.0008,0.004678675
59630,43.65927866,-79.37822718,63.6682,343.0595644,0.038736301,-0.514253286,0.0016,0.0002,-0.0003,0.001640122
59630.2,43.65927866,-79.37822718,63.6682,343.0597013,0.041387336,-0.51296003,-0.0009,-0.0035,0.0008,0.003701351
59630.4,43.65927866,-79.37822718,63.6683,343.0597601,0.040117484,-0.518117309,0,-0.0025,-0.0011,0.0027313
59630.6,43.65927866,-79.37822718,63.6684,343.0600611,0.040290222,-0.514960997,-0.0012,-0.0042,-0.0006,0.004409082
59630.8,43.65927866,-79.37822718,63.6685,343.0606475,0.041631215,-0.519911496,-0.0007,-0.0047,0.0004,0.004768648
59631,43.65927866,-79.37822718,63.6686,343.0605164,0.042014698,-0.514456888,0,-0.0023,-0.0001,0.002302173
59631.2,43.65927866,-79.37822719,63.6686,343.0578134,0.042800358,-0.511200557,0.0019,-0.0024,0.0017,0.003501428
59631.4,43.65927866,-79.37822719,63.6687,343.0564086,0.04115994,-0.504375082,0.0018,-0.0046,-0.0026,0.005582114
59631.6,43.65927866,-79.37822719,63.6688,343.0603331,0.046065254,-0.504402346,-0.0019,-0.0029,-0.001,0.003608324
59631.8,43.65927866,-79.37822719,63.6688,343.05792,0.059514062,-0.481981599,-0.0024,0.0028,-0.0053,0.006456779
59632,43.65927866,-79.37822719,63.6689,343.0563571,0.063898076,-0.46515279,0.0055,-0.0061,-0.0002,0.008215838
59632.2,43.65927867,-79.3782272,63.6689,343.0628006,0.065505644,-0.47240165,0.0031,-0.0023,-0.0019,0.004302325
59632.4,43.65927867,-79.3782272,63.6689,343.0612717,0.065278815,-0.46641691,-0.0041,0.0033,-0.0042,0.006733498
59632.6,43.65927867,-79.3782272,63.669,343.0599084,0.06719982,-0.470217087,-0.0039,-0.0004,-0.0021,0.004447471
59632.8,43.65927867,-79.3782272,63.669,343.063039,0.067390994,-0.471474068,-0.0008,0.0029,-0.0019,0.003558089
59633,43.65927867,-79.3782272,63.669,343.0606387,0.067573401,-0.4616369,-0.0023,-0.0013,-0.0028,0.003849675
59633.2,43.65927867,-79.37822721,63.669,343.0555567,0.063506488,-0.466783744,-0.0008,0.0015,-0.0011,0.002024846
59633.4,43.65927867,-79.37822721,63.669,343.0557304,0.066275395,-0.461365748,-0.0021,-0.0004,-0.0023,0.003140064
59633.6,43.65927867,-79.37822721,63.669,343.0520853,0.064919954,-0.461378442,-0.0005,-0.0005,-0.0002,0.000734847
59633.8,43.65927867,-79.37822721,63.669,343.0548713,0.063594947,-0.460530161,-0.0005,0.0006,-0.0017,0.001870829
59634,43.65927867,-79.37822721,63.669,343.0516818,0.061798992,-0.455471646,-0.003,-0.0023,-0.0023,0.004424929
59634.2,43.65927867,-79.37822721,63.669,343.0532485,0.060669634,-0.457478467,-0.0001,0.0015,-0.0013,0.001987461
59634.4,43.65927867,-79.37822722,63.669,343.0531049,0.060704212,-0.452919224,-0.0003,0,-0.0014,0.001431782
59634.6,43.65927867,-79.37822722,63.669,343.0531888,0.060132008,-0.456832482,-0.0009,0.0009,-0.0012,0.001749286
59634.8,43.65927867,-79.37822722,63.669,343.0533053,0.061180167,-0.451788583,-0.0004,0.0008,-0.0016,0.00183303
